Region/Country/Area,Population density and surface area,Year,Series,Value
535,"Bonaire, St. Eustatius & Saba",2015,Population mid-year estimates for males (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2015,Population mid-year estimates for females (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2015,Sex ratio (males per 100 females),109.2
535,"Bonaire, St. Eustatius & Saba",2015,Population aged 0 to 14 years old (percentage),17.5
535,"Bonaire, St. Eustatius & Saba",2015,Population aged 60+ years old (percentage),16.6
535,"Bonaire, St. Eustatius & Saba",2015,Population density,75.0
535,"Bonaire, St. Eustatius & Saba",2024,Population mid-year estimates (millions),0.03
535,"Bonaire, St. Eustatius & Saba",2024,Population mid-year estimates for males (millions),0.02
535,"Bonaire, St. Eustatius & Saba",2024,Population mid-year estimates for females (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2024,Sex ratio (males per 100 females),106.1
535,"Bonaire, St. Eustatius & Saba",2024,Population aged 0 to 14 years old (percentage),15.8
535,"Bonaire, St. Eustatius & Saba",2024,Population aged 60+ years old (percentage),21.7
535,"Bonaire, St. Eustatius & Saba",2024,Population density,93.5
70,Bosnia and Herzegovina,2010,Population mid-year estimates (millions),3.81
70,Bosnia and Herzegovina,2010,Population mid-year estimates for males (millions),1.82
70,Bosnia and Herzegovina,2010,Population mid-year estimates for females (millions),2.00
70,Bosnia and Herzegovina,2010,Sex ratio (males per 100 females),91.0
70,Bosnia and Herzegovina,2010,Population aged 0 to 14 years old (percentage),15.6
70,Bosnia and Herzegovina,2010,Population aged 60+ years old (percentage),20.4
70,Bosnia and Herzegovina,2010,Population density,74.4
70,Bosnia and Herzegovina,2015,Population mid-year estimates (millions),3.52
70,Bosnia and Herzegovina,2015,Population mid-year estimates for males (millions),1.67
70,Bosnia and Herzegovina,2015,Population mid-year estimates for females (millions),1.85
70,Bosnia and Herzegovina,2015,Sex ratio (males per 100 females),90.6
70,Bosnia and Herzegovina,2015,Population aged 0 to 14 years old (percentage),14.3
70,Bosnia and Herzegovina,2015,Population aged 60+ years old (percentage),24.2
70,Bosnia and Herzegovina,2015,Population density,68.7
70,Bosnia and Herzegovina,2022,Population mid-year estimates (millions),3.20
70,Bosnia and Herzegovina,2022,Population mid-year estimates for males (millions),1.52
70,Bosnia and Herzegovina,2022,Population mid-year estimates for females (millions),1.68
70,Bosnia and Herzegovina,2022,Sex ratio (males per 100 females),90.7
70,Bosnia and Herzegovina,2022,Population aged 0 to 14 years old (percentage),13.4
70,Bosnia and Herzegovina,2022,Population aged 60+ years old (percentage),29.1
70,Bosnia and Herzegovina,2022,Population density,62.6
70,Bosnia and Herzegovina,2022,Surface area (thousand km2),51
70,Bosnia and Herzegovina,2024,Population mid-year estimates (millions),3.16
70,Bosnia and Herzegovina,2024,Population mid-year estimates for males (millions),1.51
70,Bosnia and Herzegovina,2024,Population mid-year estimates for females (millions),1.66
70,Bosnia and Herzegovina,2024,Sex ratio (males per 100 females),90.8
70,Bosnia and Herzegovina,2024,Population aged 0 to 14 years old (percentage),13.0
70,Bosnia and Herzegovina,2024,Population aged 60+ years old (percentage),30.2
70,Bosnia and Herzegovina,2024,Population density,61.8
72,Botswana,2010,Population mid-year estimates (millions),2.03
72,Botswana,2010,Population mid-year estimates for males (millions),1.00
72,Botswana,2010,Population mid-year estimates for females (millions),1.03
72,Botswana,2010,Sex ratio (males per 100 females),97.6
72,Botswana,2010,Population aged 0 to 14 years old (percentage),34.1
72,Botswana,2010,Population aged 60+ years old (percentage),5.2
72,Botswana,2010,Population density,3.6
72,Botswana,2015,Population mid-year estimates (millions),2.20
72,Botswana,2015,Population mid-year estimates for males (millions),1.09
72,Botswana,2015,Population mid-year estimates for females (millions),1.11
72,Botswana,2015,Sex ratio (males per 100 females),98.7
72,Botswana,2015,Population aged 0 to 14 years old (percentage),34.4
72,Botswana,2015,Population aged 60+ years old (percentage),5.6
72,Botswana,2015,Population density,3.9
72,Botswana,2022,Population mid-year estimates (millions),2.44
72,Botswana,2022,Population mid-year estimates for males (millions),1.22
72,Botswana,2022,Population mid-year estimates for females (millions),1.22
72,Botswana,2022,Sex ratio (males per 100 females),99.7
72,Botswana,2022,Population aged 0 to 14 years old (percentage),32.4
72,Botswana,2022,Population aged 60+ years old (percentage),5.9
72,Botswana,2022,Population density,4.3
72,Botswana,2022,Surface area (thousand km2),582
72,Botswana,2024,Population mid-year estimates (millions),2.52
72,Botswana,2024,Population mid-year estimates for males (millions),1.26
72,Botswana,2024,Population mid-year estimates for females (millions),1.26
72,Botswana,2024,Sex ratio (males per 100 females),99.4
72,Botswana,2024,Population aged 0 to 14 years old (percentage),32.1
72,Botswana,2024,Population aged 60+ years old (percentage),6.1
72,Botswana,2024,Population density,4.4
76,Brazil,2010,Population mid-year estimates (millions),193.70
76,Brazil,2010,Population mid-year estimates for males (millions),95.84
76,Brazil,2010,Population mid-year estimates for females (millions),97.86
76,Brazil,2010,Sex ratio (males per 100 females),97.9
76,Brazil,2010,Population aged 0 to 14 years old (percentage),24.7
76,Brazil,2010,Population aged 60+ years old (percentage),10.0
76,Brazil,2010,Population density,23.2
76,Brazil,2015,Population mid-year estimates (millions),201.68
76,Brazil,2015,Population mid-year estimates for males (millions),99.59
76,Brazil,2015,Population mid-year estimates for females (millions),102.09
76,Brazil,2015,Sex ratio (males per 100 females),97.6
76,Brazil,2015,Population aged 0 to 14 years old (percentage),22.4
76,Brazil,2015,Population aged 60+ years old (percentage),12.0
76,Brazil,2015,Population density,24.1
76,Brazil,2022,Population mid-year estimates (millions),210.31
76,Brazil,2022,Population mid-year estimates for males (millions),103.55
76,Brazil,2022,Population mid-year estimates for females (millions),106.76
76,Brazil,2022,Sex ratio (males per 100 females),97.0
76,Brazil,2022,Population aged 0 to 14 years old (percentage),20.2
76,Brazil,2022,Population aged 60+ years old (percentage),15.1
76,Brazil,2022,Population density,25.2
76,Brazil,2022,Surface area (thousand km2),"8,516"
76,Brazil,2024,Population mid-year estimates (millions),212.00
76,Brazil,2024,Population mid-year estimates for males (millions),104.30
76,Brazil,2024,Population mid-year estimates for females (millions),107.70
76,Brazil,2024,Sex ratio (males per 100 females),96.8
76,Brazil,2024,Population aged 0 to 14 years old (percentage),19.7
76,Brazil,2024,Population aged 60+ years old (percentage),16.1
76,Brazil,2024,Population density,25.4
92,British Virgin Islands,2010,Population mid-year estimates (millions),0.03
92,British Virgin Islands,2010,Population mid-year estimates for males (millions),0.01
92,British Virgin Islands,2010,Population mid-year estimates for females (millions),0.01
92,British Virgin Islands,2010,Sex ratio (males per 100 females),96.3
92,British Virgin Islands,2010,Population aged 0 to 14 years old (percentage),22.1
92,British Virgin Islands,2010,Population aged 60+ years old (percentage),9.6
92,British Virgin Islands,2010,Population density,179.7
92,British Virgin Islands,2015,Population mid-year estimates (millions),0.03
92,British Virgin Islands,2015,Population mid-year estimates for males (millions),0.02
92,British Virgin Islands,2015,Population mid-year estimates for females (millions),0.02
92,British Virgin Islands,2015,Sex ratio (males per 100 females),90.5
92,British Virgin Islands,2015,Population aged 0 to 14 years old (percentage),19.4
92,British Virgin Islands,2015,Population aged 60+ years old (percentage),10.7
92,British Virgin Islands,2015,Population density,224.0
92,British Virgin Islands,2022,Population mid-year estimates (millions),0.04
92,British Virgin Islands,2022,Population mid-year estimates for males (millions),0.02
92,British Virgin Islands,2022,Population mid-year estimates for females (millions),0.02
92,British Virgin Islands,2022,Sex ratio (males per 100 females),88.6
92,British Virgin Islands,2022,Population aged 0 to 14 years old (percentage),15.9
92,British Virgin Islands,2022,Population aged 60+ years old (percentage),14.0
92,British Virgin Islands,2022,Population density,248.8
92,British Virgin Islands,2022,Surface area (thousand km2),0
92,British Virgin Islands,2024,Population mid-year estimates (millions),0.04
92,British Virgin Islands,2024,Population mid-year estimates for males (millions),0.02
92,British Virgin Islands,2024,Population mid-year estimates for females (millions),0.02
92,British Virgin Islands,2024,Sex ratio (males per 100 females),90.0
92,British Virgin Islands,2024,Population aged 0 to 14 years old (percentage),14.5
92,British Virgin Islands,2024,Population aged 60+ years old (percentage),15.0
92,British Virgin Islands,2024,Population density,256.3
96,Brunei Darussalam,2010,Population mid-year estimates (millions),0.39
96,Brunei Darussalam,2010,Population mid-year estimates for males (millions),0.21
96,Brunei Darussalam,2010,Population mid-year estimates for females (millions),0.18
96,Brunei Darussalam,2010,Sex ratio (males per 100 females),112.4
96,Brunei Darussalam,2010,Population aged 0 to 14 years old (percentage),25.3
96,Brunei Darussalam,2010,Population aged 60+ years old (percentage),5.5
96,Brunei Darussalam,2010,Population density,68.1
96,Brunei Darussalam,2015,Population mid-year estimates (millions),0.42
96,Brunei Darussalam,2015,Population mid-year estimates for males (millions),0.22
96,Brunei Darussalam,2015,Population mid-year estimates for females (millions),0.20
96,Brunei Darussalam,2015,Sex ratio (males per 100 females),112.7
96,Brunei Darussalam,2015,Population aged 0 to 14 years old (percentage),23.6
96,Brunei Darussalam,2015,Population aged 60+ years old (percentage),7.0
96,Brunei Darussalam,2015,Population density,73.2
96,Brunei Darussalam,2022,Population mid-year estimates (millions),0.46
96,Brunei Darussalam,2022,Population mid-year estimates for males (millions),0.24
96,Brunei Darussalam,2022,Population mid-year estimates for females (millions),0.21
96,Brunei Darussalam,2022,Sex ratio (males per 100 females),113.6
96,Brunei Darussalam,2022,Population aged 0 to 14 years old (percentage),21.2
96,Brunei Darussalam,2022,Population aged 60+ years old (percentage),10.1
96,Brunei Darussalam,2022,Population density,79.0
96,Brunei Darussalam,2022,Surface area (thousand km2),6
96,Brunei Darussalam,2024,Population mid-year estimates (millions),0.46
96,Brunei Darussalam,2024,Population mid-year estimates for males (millions),0.25
96,Brunei Darussalam,2024,Population mid-year estimates for females (millions),0.22
96,Brunei Darussalam,2024,Sex ratio (males per 100 females),113.2
96,Brunei Darussalam,2024,Population aged 0 to 14 years old (percentage),20.8
96,Brunei Darussalam,2024,Population aged 60+ years old (percentage),10.9
96,Brunei Darussalam,2024,Population density,80.3
100,Bulgaria,2010,Population mid-year estimates (millions),7.44
100,Bulgaria,2010,Population mid-year estimates for males (millions),3.62
100,Bulgaria,2010,Population mid-year estimates for females (millions),3.82
100,Bulgaria,2010,Sex ratio (males per 100 females),94.7
100,Bulgaria,2010,Population aged 0 to 14 years old (percentage),13.5
100,Bulgaria,2010,Population aged 60+ years old (percentage),25.3
100,Bulgaria,2010,Population density,68.6
100,Bulgaria,2015,Population mid-year estimates (millions),7.18
100,Bulgaria,2015,Population mid-year estimates for males (millions),3.49
100,Bulgaria,2015,Population mid-year estimates for females (millions),3.69
100,Bulgaria,2015,Sex ratio (males per 100 females),94.6
100,Bulgaria,2015,Population aged 0 to 14 years old (percentage),13.9
100,Bulgaria,2015,Population aged 60+ years old (percentage),27.2
100,Bulgaria,2015,Population density,66.2
100,Bulgaria,2022,Population mid-year estimates (millions),6.83
100,Bulgaria,2022,Population mid-year estimates for males (millions),3.30
100,Bulgaria,2022,Population mid-year estimates for females (millions),3.52
100,Bulgaria,2022,Sex ratio (males per 100 females),93.8
100,Bulgaria,2022,Population aged 0 to 14 years old (percentage),14.5
100,Bulgaria,2022,Population aged 60+ years old (percentage),28.4
100,Bulgaria,2022,Population density,63.0
100,Bulgaria,2022,Surface area (thousand km2),110
100,Bulgaria,2024,Population mid-year estimates (millions),6.76
100,Bulgaria,2024,Population mid-year estimates for males (millions),3.27
100,Bulgaria,2024,Population mid-year estimates for females (millions),3.49
100,Bulgaria,2024,Sex ratio (males per 100 females),93.8
100,Bulgaria,2024,Population aged 0 to 14 years old (percentage),14.5
100,Bulgaria,2024,Population aged 60+ years old (percentage),28.6
